Route,Note,2014,2015,2016,2017,2018,2019,,2018 - 2019 Change,,2019 Rank
Local Routes,,,,,,,,,,,
B100,,"4,968","5,279","5,387","5,208","5,020","5,045",,26,0.50%,30
B103,,"13,788","14,214","14,448","13,956","13,685","13,240",,-445,-3.30%,8
Bx23,,"3,681","3,788","3,829","3,826","3,721","3,793",,72,1.90%,39
Q6,,"11,599","11,398","11,334","10,737","10,670","10,720",,51,0.50%,9
Q7,,"5,225","5,146","5,341","5,323","5,039","4,908",,-131,-2.60%,31
Q8,,"10,506","10,457","10,696","10,331","10,176","10,098",,-78,-0.80%,11
Q9,,"5,147","5,175","5,050","4,848","4,645","4,579",,-65,-1.40%,34
Q10,,"23,194","22,749","23,363","22,981","22,012","21,176",,-836,-3.80%,1
Q11,,"4,803","4,761","5,004","4,903","4,223","4,239",,15,0.40%,35
Q18,,"8,662","8,665","8,780","8,176","7,983","8,707",,724,9.10%,13
Q19,,"3,088","3,305","3,467","3,559","3,742","3,253",,-489,-13.10%,41
Q21,,"2,856","2,846","2,926","2,867","2,420","2,470",,50,2.10%,44
Q22,,"6,837","7,086","7,247","6,748","6,362","6,046",,-316,-5.00%,23
Q23,,"16,128","16,021","16,059","15,719","16,796","16,908",,111,0.70%,5
Q25,,"19,567","20,309","20,083","19,404","19,734","19,781",,47,0.20%,4
Q29,,"5,327","5,298","5,402","5,160","4,899","5,063",,164,3.30%,29
Q33,2,"7,660","7,738","7,773","7,385","7,138","7,322",,184,2.60%,19
Q34,,"7,218","7,069","6,941","6,523","6,723","6,839",,117,1.70%,21
Q35,,"4,306","4,383","4,426","4,143","3,999","3,954",,-45,-1.10%,37
Q37,,"7,455","7,612","7,842","7,841","7,547","7,876",,330,4.40%,18
Q38,,"7,998","8,394","8,465","7,989","8,081","8,400",,319,4.00%,16
Q39,,"5,662","5,504","5,548","5,392","5,252","5,189",,-64,-1.20%,27
Q40,,"4,909","4,881","4,976","4,814","4,673","4,620",,-53,-1.10%,33
Q41,,"6,934","6,797","7,204","7,061","7,087","7,000",,-86,-1.20%,20
Q47,,"8,408","7,680","8,043","7,887","8,126","8,469",,343,4.20%,14
Q49,,"9,338","9,248","9,303","8,786","8,461","8,458",,-3,0.00%,15
Q50,,"4,439","4,637","4,690","4,665","4,544","4,645",,101,2.20%,32
Q52/53Lcl/SBS,1,"20,074","19,770","20,108","20,614","21,623","20,364",,"-1,259",-5.80%,3
Q60,,"14,119","13,987","13,761","13,977","14,144","13,630",,-515,-3.60%,6
Q64,,"10,253","10,044","9,731","9,052","8,576","8,352",,-223,-2.60%,17
Q65,,"20,685","21,080","21,052","20,232","20,363","20,891",,528,2.60%,2
Q66,,"14,105","14,053","13,824","13,748","13,999","13,428",,-571,-4.10%,7
