Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
The Bronx,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"3,416","3,480","3,532","3,486","3,166","3,324",158,5.00%,357
"149 St-Grand Concourse (2,4,5)",,Bx,"14,576","14,465","14,460","14,063","13,081","12,960",-121,-0.90%,120
"161 St-Yankee Stadium (B,D,4)",,Bx,"27,541","27,020","26,947","26,674","26,034","25,642",-392,-1.50%,44
167 St (4),,Bx,"9,793","9,923","9,972","9,466","9,398","8,486",-912,-9.70%,184
"167 St (B,D)",2,Bx,"9,906","10,166","10,439","10,223","6,342","8,542","2,200",34.70%,183
170 St (4),,Bx,"9,403","9,507","9,514","8,910","8,140","7,926",-214,-2.60%,193
"170 St (B,D)",,Bx,"6,988","7,101","7,225","7,089","7,913","6,767","-1,146",-14.50%,226
"174 St (2,5)",,Bx,"7,599","7,619","7,690","7,466","6,751","6,644",-107,-1.60%,232
"174-175 Sts (B,D)",3,Bx,"5,301","5,312","5,519","5,475","3,221","4,869","1,648",51.10%,292
176 St (4),,Bx,"5,914","6,160","6,378","6,232","5,807","5,518",-289,-5.00%,271
"182-183 Sts (B,D)",,Bx,"4,813","5,020","5,177","4,990","4,752","4,773",21,0.40%,297
183 St (4),,Bx,"6,356","6,372","6,443","6,271","5,754","5,641",-113,-2.00%,267
"219 St (2,5)",,Bx,"3,544","3,529","3,423","3,439","3,335","3,232",-103,-3.10%,363
"225 St (2,5)",,Bx,"4,593","4,591","4,408","4,340","3,961","3,898",-63,-1.60%,332
231 St (1),,Bx,"9,372","9,596","9,749","9,774","10,287","9,658",-629,-6.10%,168
"233 St (2,5)",,Bx,"5,701","5,632","5,438","5,138","4,864","4,768",-96,-2.00%,298
238 St (1),4,Bx,"3,934","4,068","4,350","4,370","3,225","3,998",773,24.00%,329
3 Av-138 St (6),,Bx,"7,951","7,994","8,008","8,114","7,801","8,100",299,3.80%,189
"3 Av-149 St (2,5)",,Bx,"25,161","24,813","24,808","24,228","22,357","22,167",-190,-0.90%,58
"Allerton Av (2,5)",,Bx,"5,737","5,779","5,530","5,403","5,144","5,161",17,0.30%,283
Baychester Av (5),,Bx,"4,196","4,090","4,064","3,846","3,551","3,789",238,6.70%,336
"Bedford Park Blvd (B,D)",,Bx,"6,645","7,046","7,236","7,066","6,419","6,911",492,7.70%,223
Bedford Park Blvd-Lehman College (4),,Bx,"6,089","6,040","5,912","5,649","5,170","5,066",-104,-2.00%,285
"Bronx Park East (2,5)",,Bx,"3,005","2,868","2,785","2,676","2,498","2,526",28,1.10%,387
Brook Av (6),,Bx,"6,312","6,244","6,226","6,118","6,040","5,917",-123,-2.00%,255
Buhre Av (6),5,Bx,"2,155","2,237","3,568","3,701","3,744","3,898",154,4.10%,333
"Burke Av (2,5)",,Bx,"3,672","3,644","3,550","3,466","3,234","3,250",16,0.50%,359
Burnside Av (4),,Bx,"11,538","11,551","11,479","11,079","10,231","9,964",-267,-2.60%,164
Castle Hill Av (6),6,Bx,"4,938","7,174","6,895","6,756","6,483","6,435",-48,-0.70%,240
Cypress Av (6),,Bx,"3,984","3,974","4,099","3,972","3,651","3,462",-189,-5.20%,351
East 143 St-St Mary's St (6),,Bx,927,989,"1,043",953,"1,019","1,085",66,6.50%,416
East 149 St (6),,Bx,"4,619","4,647","4,861","4,899","4,842","4,821",-21,-0.40%,293
"East 180 St (2,5)",,Bx,"7,489","7,587","7,697","7,691","7,175","7,089",-86,-1.20%,216
Eastchester-Dyre Av (5),,Bx,"4,948","4,845","4,769","4,647","4,506","4,672",166,3.70%,303
Elder Av (6),,Bx,"6,496","6,543","6,642","6,605","6,323","6,371",48,0.80%,242
Fordham Rd (4),,Bx,"12,231","11,982","11,957","11,503","10,395","9,796",-599,-5.80%,166
"Fordham Rd (B,D)",,Bx,"12,363","12,145","12,208","12,054","11,361","11,587",226,2.00%,136
"Freeman St (2,5)",,Bx,"4,867","4,899","5,055","4,984","4,451","4,387",-64,-1.40%,316
"Gun Hill Rd (2,5)",,Bx,"7,752","7,790","7,714","7,639","6,930","7,022",92,1.30%,218
Gun Hill Rd (5),7,Bx,"6,038","5,880","5,886","5,654","5,362","4,287","-1,075",-20.10%,321
Hunts Point Av (6),,Bx,"10,111","10,484","10,651","10,646","10,460","10,510",50,0.50%,154
"Intervale Av (2,5)",,Bx,"3,571","3,472","3,423","3,377","3,130","3,140",10,0.30%,371
