Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
The Bronx,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"3,017","3,136","3,123","2,793","2,557","3,537",980,38.30%,337
"149 St-Grand Concourse (2,4,5)",,Bx,"15,326","13,683","12,797","12,623","11,873","11,647",-226,-1.90%,148
"161 St-Yankee Stadium (B,D,4)",,Bx,"36,176","36,969","35,171","33,398","32,173","31,627",-546,-1.70%,29
167 St (4),,Bx,"10,417","11,942","11,579","9,981","9,822","8,986",-836,-8.50%,178
"167 St (B,D)",2,Bx,"13,220","12,890","12,775","12,682","7,529","10,299","2,770",36.80%,163
170 St (4),,Bx,"9,960","11,398","11,161","9,482","8,936","8,584",-352,-3.90%,186
"170 St (B,D)",,Bx,"9,490","8,737","8,633","8,558","8,037","7,420",-617,-7.70%,207
"174 St (2,5)",,Bx,"8,003","6,797","8,183","7,974","6,141","6,671",530,8.60%,228
"174-175 Sts (B,D)",3,Bx,"6,777","6,271","6,280","6,298","3,404","5,107","1,703",50.00%,279
176 St (4),,Bx,"6,217","7,318","7,459","6,549","5,937","5,637",-300,-5.00%,261
"182-183 Sts (B,D)",,Bx,"6,939","6,660","6,574","5,623","5,347","5,438",91,1.70%,270
183 St (4),,Bx,"7,056","7,944","7,786","7,426","6,696","6,260",-436,-6.50%,242
"219 St (2,5)",,Bx,"4,056","3,837","3,200","3,091","3,248","2,841",-407,-12.50%,359
"225 St (2,5)",,Bx,"5,043","4,935","4,403","4,003","3,936","3,539",-397,-10.10%,336
231 St (1),,Bx,"9,568","9,480","9,561","9,760","9,499","8,337","-1,162",-12.20%,190
"233 St (2,5)",,Bx,"6,434","6,007","5,501","4,707","4,720","4,202",-518,-11.00%,316
238 St (1),4,Bx,"3,801","3,719","3,977","4,174","2,578","3,411",833,32.30%,342
3 Av-138 St (6),,Bx,"9,364","9,113","8,543","8,331","8,591","8,110",-481,-5.60%,194
"3 Av-149 St (2,5)",,Bx,"24,819","19,003","23,393","23,901","19,975","20,597",622,3.10%,66
"Allerton Av (2,5)",,Bx,"6,741","6,388","5,889","5,559","5,379","5,491",112,2.10%,266
Baychester Av (5),,Bx,"2,132","1,683","1,343","1,402","1,840","2,368",528,28.70%,377
"Bedford Park Blvd (B,D)",,Bx,"8,213","7,377","7,234","7,819","6,428","7,060",632,9.80%,222
