County,2017 Population,Index Crime Count,Index Crime Rate,Violent Crime Count,Violent Crime Rate,Property Crime Count,Property Crime Rate,Violent Crime with Firearm Count,Violent Crime with Firearm Rate
Albany,"310,352","8,787","2,831.30","1,162",374.4,"7,625","2,456.90",148,47.7
Allegany,"46,878",509,"1,085.80",80,170.7,429,915.1,6,12.8
Bronx,"1,470,074","35,507","2,415.30","12,534",852.6,"22,973","1,562.70","1,270",86.4
Broome,"194,923","5,584","2,864.70",697,357.6,"4,887","2,507.10",73,37.5
Cattaraugus,"75,611","1,176","1,555.30",130,171.9,"1,046","1,383.40",19,25.1
Cayuga,"77,712","1,371","1,764.20",248,319.1,"1,123","1,445.10",21,27
Chautauqua,"128,942","2,791","2,164.50",348,269.9,"2,443","1,894.70",43,33.3
Chemung,"86,084","1,567","1,820.30",143,166.1,"1,424","1,654.20",24,27.9
Chenango,"48,397",715,"1,477.40",83,171.5,632,"1,305.90",3,6.2
Clinton,"81,093","1,215","1,498.30",135,166.5,"1,080","1,331.80",4,4.9
Columbia,"60,796",969,"1,593.90",133,218.8,836,"1,375.10",19,31.3
Cortland,"47,986",994,"2,071.40",49,102.1,945,"1,969.30",1,2.1
Delaware,"44,468",520,"1,169.40",59,132.7,461,"1,036.70",4,9
Dutchess,"294,598","4,096","1,390.40",573,194.5,"3,523","1,195.90",73,24.8
Erie,"923,447","23,369","2,530.60","3,463",375,"19,906","2,155.60",930,100.7
Essex,"36,491",420,"1,151.00",63,172.6,357,978.3,6,16.4
Franklin,"50,324",688,"1,367.10",100,198.7,588,"1,168.40",10,19.9
Fulton,"53,556","1,088","2,031.50",118,220.3,970,"1,811.20",9,16.8
Genesee,"58,252","1,143","1,962.20",168,288.4,975,"1,673.80",8,13.7
Greene,"47,352",635,"1,341.00",139,293.5,496,"1,047.50",5,10.6
Hamilton,"4,505",36,799.1,4,88.8,32,710.3,0,0
Herkimer,"62,458","1,162","1,860.50",159,254.6,"1,003","1,605.90",8,12.8
Jefferson,"113,858","2,261","1,985.80",239,209.9,"2,022","1,775.90",22,19.3
Kings,"2,646,816","49,766","1,880.20","14,593",551.3,"35,173","1,328.90","1,753",66.2
Lewis,"26,893",260,966.8,35,130.1,225,836.6,3,11.2
Livingston,"64,242",809,"1,259.30",56,87.2,753,"1,172.10",3,4.7
Madison,"71,146",986,"1,385.90",104,146.2,882,"1,239.70",8,11.2
Monroe,"749,892","18,951","2,527.20","2,570",342.7,"16,381","2,184.40",730,97.3
Montgomery,"49,222",939,"1,907.70",78,158.5,861,"1,749.20",5,10.2
